AGEB_ID,GRAPROES_C,VPH_AGUADV_%,PDER_SS_%,ARR_LBIEN_%,Education (percentile),Water (percentile),Health (percentile),Poverty (percentile)
4049,9.18,99.36124911,68.26413024,58,0.366,0.957,0.795,0.341
4050,9.74,96.2962963,65.00160102,58,0.512,0.461,0.655,0.341
4056,7.95,94.82262704,54.47247706,58,0.093,0.344,0.34,0.341
4057,9.37,99.03660886,59.42643392,58,0.418,0.909,0.48,0.341
4060,9.52,97.46233148,56.25,58,0.455,0.606,0.392,0.341
4061,10.83,97.63779528,64.67110126,58,0.717,0.638,0.642,0.341
4063,10,99.61685824,66.75749319,58,0.568,0.98,0.737,0.341
4064,10.91,99.72260749,67.80287474,58,0.728,0.986,0.774,0.341
4065,9.82,97.00665188,58.26111266,58,0.53,0.54,0.446,0.341
4072,11.76,97.9231568,72.9218107,65,0.807,0.684,0.929,0.668
4073,10.46,98.51799577,69.40199962,65,0.663,0.804,0.836,0.668
4074,8.48,61.8287373,61.18159204,65,0.204,0.062,0.527,0.668
4075,8.76,12.34567901,57.52461322,49,0.258,0.033,0.426,0.128
4076,9.55,94.10187668,72.81105991,49,0.463,0.305,0.928,0.128
4077,8.95,93.39477727,53.15542734,49,0.304,0.276,0.307,0.128
4078,9.73,84.84848485,28.06901128,49,0.509,0.123,0.008,0.128
4079,10.28,97.18530102,68.5408007,64,0.632,0.567,0.807,0.626
4081,9.71,98.65871833,70.06036217,64,0.504,0.831,0.858,0.626
4082,10.55,99.21875,66.64198445,64,0.674,0.94,0.731,0.626
4084,10.39,96.23655914,64.55190772,64,0.652,0.457,0.639,0.626
4085,12.59,91.07744108,71.23157394,64,0.855,0.211,0.885,0.626
4086,12.98,99.17050691,76.49211712,64,0.882,0.935,0.974,0.626
4087,13.47,90.89574156,76.88679245,64,0.919,0.207,0.977,0.626
4088,9.62,84.46849141,65.10951141,64,0.482,0.12,0.661,0.626
4089,9.68,98.24289406,61.0171766,64,0.497,0.742,0.522,0.626
4090,8.63,96.93829487,59.85094362,64,0.233,0.528,0.489,0.626
4091,9.56,95.89041096,60.07522837,64,0.467,0.418,0.495,0.626
4092,8.42,99.3909866,66.29312887,64,0.188,0.962,0.716,0.626
4093,10.2,98.60050891,68.06938644,64,0.615,0.819,0.787,0.626
4094,10.15,96.04365621,69.36063218,64,0.601,0.436,0.835,0.626
4095,10.15,94.15041783,64.98493976,56,0.601,0.309,0.654,0.302
4096,10.32,98.49462366,60.64257028,56,0.641,0.797,0.512,0.302
4097,9.81,97.83653846,63.05852738,56,0.527,0.67,0.59,0.302
4099,11.31,99.35897436,67.31591449,56,0.773,0.956,0.756,0.302
4100,9.16,99.12280702,52.35822572,56,0.36,0.926,0.287,0.302
4101,9.93,96.12612613,62.70380435,56,0.553,0.446,0.578,0.302
4103,9.59,97.57330637,65.27196653,56,0.476,0.627,0.669,0.302
4104,9.29,95.61965812,55.47721635,56,0.396,0.396,0.372,0.302
4105,9.36,96.20476611,69.81174361,56,0.415,0.454,0.848,0.302
4106,10.01,94.7753396,56.03079555,69.59432,0.569,0.34,0.385,0.799
4108,10.98,84.93975904,73.1281198,69.59432,0.737,0.124,0.934,0.799
4109,12.28,94.87179487,61.43021252,69.59432,0.835,0.348,0.534,0.799
4110,10.3,96.91211401,62.65481105,69.59432,0.636,0.524,0.577,0.799
4111,9.38,76.22173596,56.07729469,69.59432,0.42,0.089,0.386,0.799
4112,11.72,95.14563107,61.62092624,69.59432,0.804,0.364,0.54,0.799
4114,13.09,94.02985075,68.27284105,69.59432,0.888,0.301,0.796,0.799
4115,10.4,73.38709677,48.63779753,69.59432,0.654,0.081,0.197,0.799
4116,8.23,0,35.58441558,69.59432,0.148,0,0.028,0.799
4118,13.61,94.87632509,64.63282937,69.59432,0.928,0.348,0.641,0.799
4120,9.29,13.71237458,50.17921147,69.59432,0.396,0.034,0.23,0.799
4121,9.37,8.988764045,54.15584416,69.59432,0.418,0.03,0.332,0.799
4122,8.56,0,48.3935743,69.59432,0.219,0,0.193,0.799
4124,10.91,98.00221976,60.0312256,68,0.728,0.7,0.494,0.747
4125,12.71,100,57.14285714,68,0.863,0.992,0.416,0.747
4127,10.61,92.94274301,51.08624095,68,0.684,0.259,0.251,0.747
4128,9.8,89.05109489,43.23308271,68,0.525,0.174,0.104,0.747
4129,8.26,35,35.65768621,68,0.154,0.044,0.029,0.747
4130,12.03,98.68189807,69.0614723,68,0.823,0.837,0.826,0.747
4131,9,80.52256532,47.51274389,68,0.316,0.103,0.178,0.747
4132,9.58,96.09756098,56.53010723,68,0.473,0.442,0.4,0.747
4134,8.23,23.05825243,50.06119951,68,0.148,0.04,0.226,0.747
4135,14.1,86.86809994,65.41450777,88.04771,0.969,0.144,0.674,0.975
4136,13.3,84.81675393,65.4020263,88.04771,0.903,0.122,0.673,0.975
4137,14.25,96.96969697,70.06464446,88.04771,0.98,0.533,0.858,0.975
4138,14.15,87.68472906,65.03655155,88.04771,0.974,0.152,0.657,0.975
4139,11.94,91.70305677,63.76762928,88.04771,0.818,0.223,0.614,0.975
4140,12.8,86.69871795,64.51800232,88.04771,0.87,0.142,0.637,0.975
4141,14.31,87.43842365,66.59278024,88.04771,0.983,0.149,0.729,0.975
4143,14.3,97.89695058,72.26787182,88.04771,0.982,0.681,0.912,0.975
4144,13.32,92.55181347,66.90140845,88.04771,0.905,0.247,0.742,0.975
4145,11.02,94.20731707,75.00926269,71,0.744,0.313,0.96,0.85
4148,11.4,94.23868313,60.66350711,71,0.779,0.314,0.513,0.85
4149,10.21,96.54164637,66.27218935,71,0.618,0.485,0.715,0.85
4150,9.71,96.82791435,60.25345622,71,0.504,0.517,0.503,0.85
4151,11.84,96.46017699,61.66666667,71,0.812,0.476,0.542,0.85
4152,10.92,96.05462822,55.02692998,71,0.73,0.437,0.356,0.85
4153,12.33,92.94871795,47.21030043,71,0.838,0.26,0.173,0.85
4154,10.4,95.76439444,65.01191422,71,0.654,0.407,0.655,0.85
4155,10.67,97.19691661,67.59731233,71,0.692,0.569,0.766,0.85
4156,14.51,93.00699301,68.53526221,71,0.992,0.264,0.807,0.85
4157,13.2,96.5648855,72.22222222,71,0.896,0.488,0.911,0.85
4158,13.44,92.05128205,64.92197659,71,0.915,0.232,0.652,0.85
4159,10.92,98.67924528,62.69931663,71,0.73,0.836,0.578,0.85
4160,10.44,96.69064748,68.00876472,82,0.66,0.503,0.783,0.946
4161,10.8,95.81881533,72.76182432,82,0.714,0.411,0.926,0.946
4162,12.47,98.51190476,75.47650709,82,0.848,0.803,0.967,0.946
4163,9.89,91.02702703,63.73626374,82,0.545,0.21,0.613,0.946
4165,10.44,97.53989362,70.27754764,82,0.66,0.621,0.863,0.946
4166,14.12,81.95876289,60.27280477,82,0.971,0.108,0.504,0.946
4167,13.95,73.42657343,52.61780105,82,0.959,0.082,0.293,0.946
4170,13.38,96.59695144,71.12429226,82,0.91,0.491,0.881,0.946
4171,12.84,83.01886792,63.59506814,82,0.873,0.111,0.61,0.946
4173,10.74,92.96482412,63.84154767,67,0.704,0.261,0.616,0.72
4176,10.97,95.88353414,69.08934214,67,0.737,0.418,0.827,0.72
4177,9.09,90.05524862,53.34719335,67,0.338,0.192,0.312,0.72
4178,10.79,95.79224195,60.35053554,67,0.712,0.41,0.506,0.72
4179,11.26,94.85294118,59.17926566,67,0.768,0.346,0.472,0.72
4180,9.88,97.23827874,66.4248355,67,0.543,0.574,0.722,0.72
4182,11.43,80.38585209,52.76705277,67,0.783,0.102,0.295,0.72
4185,12.39,93.38666667,68.39920592,67,0.843,0.275,0.802,0.72
4187,10.34,73.33333333,33.33333333,56,0.645,0.081,0.019,0.302
4188,9.72,96.2962963,60.73858115,56,0.505,0.461,0.515,0.302
4189,7.43,10.16042781,50.66312997,56,0.032,0.031,0.24,0.302
4190,14.24,92.93413174,77.84556109,65,0.979,0.259,0.98,0.668
4194,14.04,97.64816557,77.34636872,65,0.965,0.639,0.979,0.668
4195,9.03,98.80742049,52.26856342,65,0.325,0.865,0.284,0.668
4196,9.1,99.81238274,59.33528837,65,0.34,0.989,0.477,0.668
4197,8.05,98.81235154,45.74115044,65,0.11,0.867,0.142,0.668
4198,14.78,99.37264743,86.64186676,65,0.997,0.96,0.994,0.668
4199,8.19,98.05534779,44.64917178,40,0.138,0.709,0.123,0.061
4202,8.59,89.42065491,45.05610841,40,0.224,0.181,0.129,0.061
4203,9,100,0,40,0.316,0.992,0,0.061
4204,7.38,93.99141631,41.21274409,40,0.028,0.299,0.08,0.061
4205,8.91,89.3550407,49.53523745,40,0.291,0.18,0.216,0.061
4206,8.12,97.18309859,40.42553191,40,0.124,0.566,0.069,0.061
4207,6.52,60.40677966,29.45326279,40,0.004,0.061,0.01,0.061
4209,8.67,86.25899281,54.13441239,48,0.24,0.139,0.331,0.121
4210,9.81,97.88888889,70.42336628,48,0.527,0.68,0.868,0.121
4212,9.2,97.15302491,40.61798723,43,0.372,0.562,0.072,0.095
4213,8.54,78.57142857,45.91836735,43,0.216,0.096,0.145,0.095
4214,8.3,93.47909474,49.44476355,33,0.165,0.278,0.214,0
4215,8.44,94.78516342,49.59880883,33,0.194,0.342,0.216,0
4216,7.4,97.27497936,42.84314793,33,0.029,0.578,0.098,0
4217,8.16,98.22109276,48.37494112,33,0.131,0.735,0.193,0
4218,7.96,97.71117166,44.14122943,33,0.094,0.651,0.116,0
4219,8.34,95.55198285,42.62332348,33,0.171,0.392,0.093,0
4220,7.49,50.39267016,40.6213705,33,0.035,0.05,0.072,0
4221,7.76,98.85245902,45.38447533,33,0.064,0.876,0.136,0
4223,7.18,64.24394319,41.47781375,33,0.019,0.065,0.081,0
4224,8.83,94.13407821,43.76142596,33,0.271,0.308,0.111,0
4225,7.95,91.72932331,37.67812238,33,0.093,0.224,0.042,0
4226,7.81,1.88034188,39.16866507,33,0.069,0.025,0.055,0
4229,11.1,98.47494553,65.80188679,52.52346,0.754,0.792,0.692,0.149
4231,9.56,85.86826347,63.91001267,52.52346,0.467,0.135,0.62,0.149
4233,9.02,84.93535694,59.07357718,52.52346,0.322,0.124,0.468,0.149
4234,8.74,96.24384236,57.48823625,52.52346,0.253,0.458,0.425,0.149
4235,8.84,93.30922242,59.32244699,52.52346,0.275,0.273,0.477,0.149
4236,11.13,97.67891683,58.10306199,52.52346,0.757,0.643,0.44,0.149
