Cluster,GRAPROES,VPH_AGUADV_%,PDER_SS_%,ARR_LBIEN_%,Education (percentile),Water (percentile),Health (percentile),Poverty (percentile)
154,7.84897268,784.897268,43.04412831,63.13954966,0.069,0.104,0.139,0.611
155,9.269801053,926.9801053,53.8263889,69.72934762,0.452,0.656,0.417,0.865
156,7.139849371,713.9849371,38.57806264,40.06804891,0.024,0.169,0.069,0.084
157,8.726357156,872.6357156,56.39035122,49,0.298,0.328,0.462,0.159
158,10.63488084,1063.488084,71.46592711,40.57887569,0.741,0.766,0.89,0.104
159,9.198486576,919.8486576,48.11577212,68.29899604,0.432,0.089,0.273,0.791
160,9.835045851,983.5045851,63.31235878,76,0.641,0.746,0.636,0.905
161,9.564275653,956.4275653,49.7075517,68,0.562,0.323,0.308,0.776
162,10.24527774,1024.527774,57.32142312,54,0.706,0.223,0.492,0.323
163,9.77374227,977.374227,56.5332914,56,0.616,0.895,0.467,0.422
164,9.885791976,988.5791976,57.76927536,69.02805906,0.656,0.552,0.512,0.815
165,7.975774977,797.5774977,37.06422726,36,0.104,0.98,0.054,0.029
166,14.28682014,1428.682014,70.64035041,63.494469,0.975,0.338,0.855,0.631
167,8.66374323,866.374323,47.9248692,57.89851711,0.288,0.736,0.258,0.447
168,10.54607905,1054.607905,62.85659466,68.88035124,0.731,0.875,0.631,0.805
169,13.46869065,1346.869065,63.47704225,63.03621643,0.92,0.179,0.641,0.572
170,9.522464226,952.2464226,68.85133914,72.44744,0.552,0.253,0.815,0.885
171,9.228415297,922.8415297,58.35120461,63.05368,0.442,0.855,0.527,0.587
172,7.137629977,713.7629977,39.75077954,47.01873536,0.019,0.014,0.094,0.139
173,13.75186439,1375.186439,60.04813581,82,0.945,0.164,0.557,0.97
174,9.333602962,933.3602962,46.94285468,56,0.482,0.805,0.218,0.417
175,8.485954248,848.5954248,59.01727837,65,0.258,0.213,0.542,0.711
176,8.859636025,885.9636025,48.5189226,52.52346,0.348,0.572,0.278,0.228
177,8.877592264,887.7592264,57.22192665,78,0.358,0.318,0.487,0.935
178,9.080128737,908.0128737,64.81623894,57.85973328,0.407,0.975,0.691,0.442
179,7.950416282,795.0416282,30.8657705,67.59563855,0.094,0.024,0.019,0.771
180,9.923380991,992.3380991,45.9242022,54,0.661,0.303,0.194,0.368
181,13.92271367,1392.271367,75.24826325,64.7872938,0.955,0.373,0.955,0.681
182,10.73495577,1073.495577,64.88894318,62,0.751,0.84,0.696,0.517
183,9.452327858,945.2327858,54.45003466,56,0.537,0.562,0.437,0.422
184,9.016937808,901.6937808,50.42187168,55.0417869,0.388,0.955,0.328,0.398
185,8.813327522,881.3327522,62.35121139,63,0.328,0.86,0.621,0.562
186,9.375154639,937.5154639,50.91626162,69.59432,0.512,0.034,0.353,0.85
187,8.322035449,832.2035449,51.26284647,66.98936969,0.208,0.054,0.363,0.761
188,9.61342556,961.342556,70.05216697,52,0.587,0.731,0.84,0.208
189,8.635190669,863.5190669,58.77398365,53.86258663,0.278,0.174,0.537,0.288
190,8.257512022,825.7512022,43.22711987,69.20756943,0.184,0.059,0.149,0.82
191,8.15950906,815.950906,44.94837634,40.48764972,0.159,0.139,0.174,0.099
192,8.122558635,812.2558635,68.79749246,62.96689762,0.144,0.99,0.81,0.532
193,9.217191229,921.7191229,50.6413026,54,0.437,0.129,0.343,0.343
194,9.043887238,904.3887238,50.42200841,55,0.398,0.711,0.333,0.393
195,10.26080108,1026.080108,67.57065848,63.02404692,0.711,0.577,0.776,0.567
196,8.314651248,831.4651248,47.97909335,33,0.199,0.761,0.263,0.014
197,12.38449669,1238.449669,64.41532765,69.51918287,0.84,0.412,0.676,0.835
198,9.5592559,955.92559,69.85144029,77.79119318,0.557,0.701,0.83,0.93
199,7.917535294,791.7535294,39.46266573,52.72178225,0.089,0.039,0.084,0.248
200,8.771594747,877.1594747,47.35484278,63.05368,0.313,0.492,0.238,0.582
